State,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,DEM_2020Census_HousingUnits_Total,FED_USDA_Amount,HHS_SAIPE_Poverty_Rate,mean_plan_price
MS,0,0.6447536585365855,0.20037804878048776,7.646341463414634,16096.890243902439,47481599.07317073,0.2284146341463415,50.85071226073761
MT,1,0.724925,0.34119642857142857,7.267857142857143,9192.910714285714,35486942.928571425,0.14280357142857145,81.63957934137622
NC,1,0.876017,0.44252999999999987,8.47,47087.1,92546010.29,0.15800999999999998,53.87571132197467
ND,0,0.9579169811320755,0.4768867924528304,7.30188679245283,6993.245283018868,60241779.094339624,0.11432075471698114,54.12285349452897
NE,1,0.8448860215053765,0.3096,9.75268817204301,9078.258064516129,13627088.193548387,0.11106451612903226,71.18997353460715
NH,0,0.94478,0.6648,9.8,63879.5,121347837.6,0.0883,61.396070709315985
NJ,0,0.9850523809523808,0.7339523809523811,9.476190476190476,179106.14285714287,72384091.66666667,0.08971428571428573,48.69781656645229
NM,0,0.7015484848484849,0.32415151515151513,9.575757575757576,28510.878787878788,36447282.303030305,0.19287878787878787,65.28328365384617
NV,1,0.6440117647058825,0.3543529411764706,7.470588235294118,75354.0,56370450.294117644,0.12170588235294118,95.6723343955592
NY,0,0.9634209677419355,0.5717741935483869,9.035087719298245,146345.9655172414,40197142.79310345,0.12875862068965513,59.52592451400973
OH,0,0.9138193181818184,0.45543181818181805,10.625,59574.13636363636,49423349.85227273,0.12264772727272724,59.9966405969222
OK,0,0.7517051948051944,0.27592207792207785,9.74025974025974,22685.805194805194,47011676.77922078,0.16623376623376618,56.24152310700995
OR,0,0.8521057142857141,0.5236388888888889,10.194444444444445,50381.86111111111,94599354.75,0.12977777777777774,64.58727886983725
PA,1,0.8888656716417909,0.46992537313432836,11.0,85713.85074626865,81178396.47761194,0.12120895522388063,60.90323153129864
RI,0,0.9835,0.7411999999999999,,,,,47.85666666666667
SC,1,0.8027282608695652,0.3743260869565217,8.543478260869565,50977.45652173913,115187155.17391305,0.17797826086956517,52.84331846261017
SD,0,0.9225727272727274,0.41959090909090924,7.378787878787879,5960.227272727273,34969227.74242424,0.15292424242424252,58.53610785176934
TN,1,0.8712221052631582,0.40501052631578954,9.105263157894736,31911.63157894737,58902565.15789474,0.15852631578947368,56.442224690896175
TX,1,0.8339393700787395,0.3399565217391304,9.417322834645669,45627.259842519685,34311757.622047246,0.1545629921259843,58.43352254276587
UT,1,0.8674793103448276,0.5840689655172413,9.344827586206897,39703.93103448276,91594720.2413793,0.10248275862068967,43.49998406256442
VA,1,0.8690503649635033,0.4783923076923076,8.68041237113402,26098.690721649484,77068954.25773196,0.12170103092783505,57.48545535497525
VT,0,0.9048642857142857,0.41785714285714287,9.571428571428571,23879.85714285714,57203400.571428575,0.10314285714285713,69.68355978148836
WA,1,0.9017230769230767,0.4869743589743589,11.128205128205128,82108.7435897436,113919004.97435898,0.12458974358974356,62.72918814738115
WI,1,0.8336166666666666,0.4154722222222223,11.694444444444445,37885.083333333336,55162187.25,0.10551388888888892,59.34531287530552
WV,0,0.7373018181818182,0.2527636363636363,8.345454545454546,15557.0,37712083.43636364,0.17183636363636365,55.541235939434976
WY,0,0.9107130434782609,0.3959130434782608,9.91304347826087,11821.173913043478,75771127.60869566,0.10169565217391306,55.07978174603176
