State,Farm_ind,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,DEM_2020Census_HousingUnits_Total,FED_USDA_Amount,HHS_SAIPE_Poverty_Rate,mean_plan_price
IA,1,0,0.9132933333333333,0.3021000000000001,14.0,4744.1,17750167.8,0.109,62.99641475468976
ID,0,0,0.84624375,0.40475,9.21875,21599.34375,45533542.875,0.12428124999999998,69.41143239795919
ID,1,0,0.8774583333333332,0.23516666666666666,8.416666666666666,5056.666666666667,33724520.0,0.1235,78.45784722222223
IL,0,0,0.9023055555555557,0.3879555555555555,13.066666666666666,59598.955555555556,35702263.08888889,0.1263111111111111,58.006473668855456
IL,1,0,0.8563999999999999,0.2415833333333333,10.416666666666666,5210.25,19697426.5,0.10999999999999999,63.888431096681096
IN,0,0,0.9074433333333335,0.36245555555555564,12.977777777777778,32397.033333333333,53461604.9,0.11184444444444443,61.10310442711608
IN,1,0,0.9050499999999999,0.067,11.5,3721.0,11368389.5,0.0905,82.495
KS,0,0,0.8975610169491528,0.43601694915254247,10.35593220338983,19922.35593220339,32346399.91525424,0.12405084745762714,61.33576959501557
KS,1,0,0.8209826086956522,0.268,7.1521739130434785,2179.782608695652,10759566.847826088,0.11484782608695653,63.24725802469132
KY,0,0,0.8840184782608694,0.34641304347826085,8.83695652173913,19965.66304347826,53748378.61956522,0.19139130434782606,57.3659081385189
KY,1,0,0.8516821428571426,0.15671428571428572,8.25,5624.357142857143,15735357.92857143,0.17810714285714285,75.16966213151929
LA,0,1,0.7010967213114753,0.29311475409836074,9.081967213114755,33819.24590163935,102736177.01639344,0.20518032786885249,47.20862053110287
LA,1,1,0.33903333333333335,0.10066666666666667,6.0,3408.6666666666665,12870142.0,0.29433333333333334,55.0
MA,0,0,0.9578,0.7052142857142857,9.428571428571429,184846.14285714287,107369645.14285715,0.08642857142857142,63.1436274944126
MD,0,0,0.9569461538461538,0.6734230769230769,10.076923076923077,122086.76923076923,126504336.5,0.10738461538461543,55.22633912988597
ME,0,0,0.9400999999999999,0.4379374999999999,10.9375,46192.0,139701347.1875,0.1251875,65.84006438259209
MI,0,1,0.8517674698795183,0.40275903614457814,10.626506024096386,55062.32530120482,71007621.50602409,0.13201204819277113,59.842322909314966
MN,0,1,0.9396451612903227,0.48832258064516115,12.806451612903226,38193.41935483871,70332143.91935484,0.0946290322580645,57.42495500243197
MN,1,1,0.9661240000000001,0.36123999999999995,10.68,4702.64,29383028.68,0.10012,61.3404361904762
MO,0,1,0.8371070588235294,0.34305882352941175,10.2,38491.882352941175,69442185.55294117,0.15614117647058823,60.30341956982871
MO,1,1,0.6759437500000001,0.17490624999999996,7.1875,4154.46875,13951103.375,0.15259374999999997,60.74221468253969
MS,0,0,0.6632013157894739,0.21006578947368423,7.7631578947368425,17076.46052631579,49959878.473684214,0.22300000000000006,50.23158514161218
MS,1,0,0.4110833333333333,0.07766666666666668,6.166666666666667,3689.0,16090060.0,0.297,60.13761904761905
MT,0,1,0.73795,0.36902631578947376,8.236842105263158,12851.026315789473,47088258.368421055,0.14094736842105263,81.37727027465998
MT,1,1,0.6974277777777776,0.28244444444444444,5.222222222222222,1470.2222222222222,10995277.0,0.1467222222222222,82.2766156462585
NC,0,1,0.8905907216494845,0.4538350515463916,8.56701030927835,48414.0412371134,95273847.65979381,0.15746391752577316,53.72455483740545
NC,1,1,0.4048,0.077,5.333333333333333,4182.666666666667,4345935.333333333,0.17566666666666664,58.66233333333333
ND,0,0,0.9559,0.6174666666666667,8.2,19030.133333333335,174546581.66666666,0.11800000000000001,54.21023214285715
